BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"
"03/06/2025 11:24:17.072	0.802516	0.309392	-0.210572	-24.99	-0.7	-36.68	-0.3645	-1.335	-0.378"
"03/06/2025 11:24:17.092	0.78324	0.377956	-0.16958	-2.66	-1.085	-43.61	-0.3525	-1.332	-0.393"
"03/06/2025 11:24:17.112	0.738832	0.428952	-0.202032	16.345	0.035	-51.765	-0.3645	-1.323	-0.3765"
"03/06/2025 11:24:17.132	0.763964	0.512156	-0.208132	35.49	-1.995	-61.74	-0.3525	-1.3305	-0.3765"
"03/06/2025 11:24:17.152	0.778116	0.567056	-0.228872	46.025	-1.435	-68.355	-0.354	-1.3425	-0.36"
"03/06/2025 11:24:17.172	0.788608	0.57584	-0.224236	45.71	-0.77	-71.085	-0.345	-1.3455	-0.3615"
"03/06/2025 11:24:17.192	0.809348	0.57218	-0.215696	39.76	-1.89	-69.265	-0.321	-1.3575	-0.3585"
"03/06/2025 11:24:17.212	0.803004	0.589748	-0.237412	30.905	-2.38	-63	-0.306	-1.374	-0.342"
"03/06/2025 11:24:17.232	0.787388	0.60634	-0.244	20.335	-3.535	-56.84	-0.309	-1.3725	-0.3465"
"03/06/2025 11:24:17.252	0.77714	0.545828	-0.236924	6.86	-4.515	-51.555	-0.2925	-1.3725	-0.342"
"03/06/2025 11:24:17.272	0.765916	0.514596	-0.207644	10.43	-6.685	-46.13	-0.2865	-1.3785	-0.354"
"03/06/2025 11:24:17.292	0.734928	0.564616	-0.207644	18.235	-5.46	-43.05	-0.2865	-1.3785	-0.354"
"03/06/2025 11:24:17.312	0.72712	0.588284	-0.193492	20.09	-5.075	-42.035	-0.2625	-1.374	-0.3585"
"03/06/2025 11:24:17.332	0.741272	0.609268	-0.191052	20.09	-4.935	-38.465	-0.252	-1.389	-0.342"
"03/06/2025 11:24:17.352	0.742004	0.615612	-0.175924	16.975	-2.03	-34.755	-0.249	-1.3875	-0.3375"
"03/06/2025 11:24:17.372	0.730048	0.615368	-0.184464	12.53	1.155	-30.485	-0.2445	-1.3965	-0.342"
"03/06/2025 11:24:17.392	0.722972	0.603656	-0.211792	7.56	1.435	-24.71	-0.2445	-1.3965	-0.342"
"03/06/2025 11:24:17.412	0.72712	0.599996	-0.228384	5.18	1.085	-20.265	-0.2385	-1.404	-0.339"
"03/06/2025 11:24:17.432	0.711992	0.59536	-0.236924	5.075	2.835	-15.855	-0.237	-1.4025	-0.3375"
"03/06/2025 11:24:17.452	0.7015	0.606584	-0.236924	5.88	2.52	-11.69	-0.228	-1.4145	-0.3345"
"03/06/2025 11:24:17.472	0.69662	0.627568	-0.252052	5.705	1.26	-8.82	-0.237	-1.4025	-0.3285"
"03/06/2025 11:24:17.492	0.67832	0.641476	-0.284748	7.84	0.945	-6.125	-0.231	-1.4085	-0.324"
"03/06/2025 11:24:17.512	0.65392	0.683444	-0.301584	11.095	2.66	-6.475	-0.2325	-1.407	-0.318"
"03/06/2025 11:24:17.532	0.643428	0.684908	-0.306708	12.67	3.01	-6.93	-0.2265	-1.4115	-0.324"
"03/06/2025 11:24:17.552	0.649284	0.692716	-0.330376	12.355	0.49	-6.825	-0.24	-1.422	-0.33"
"03/06/2025 11:24:17.572	0.644404	0.701256	-0.36112	12.985	-1.82	-6.37	-0.228	-1.398	-0.3315"
"03/06/2025 11:24:17.592	0.653188	0.697108	-0.364048	14.14	-3.5	-7.35	-0.219	-1.4055	-0.3225"
"03/06/2025 11:24:17.612	0.663436	0.694668	-0.37088	18.585	-5.005	-8.54	-0.225	-1.404	-0.333"
"03/06/2025 11:24:17.632	0.674172	0.72834	-0.35014	23.415	-6.44	-9.625	-0.222	-1.413	-0.345"
"03/06/2025 11:24:17.652	0.666364	0.734684	-0.343308	23.59	-6.16	-9.94	-0.2145	-1.407	-0.327"
"03/06/2025 11:24:17.672	0.660264	0.723704	-0.342332	21.49	-8.33	-8.155	-0.207	-1.4085	-0.339"
"03/06/2025 11:24:17.692	0.66124	0.717848	-0.328912	21.07	-8.89	-8.54	-0.204	-1.419	-0.3345"
"03/06/2025 11:24:17.712	0.663924	0.717116	-0.318908	23.38	-8.82	-9.205	-0.2115	-1.419	-0.3285"
"03/06/2025 11:24:17.732	0.666852	0.735416	-0.299632	24.745	-8.225	-9.695	-0.201	-1.4145	-0.318"
